BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE
Brokered by Corcoran East Side,Condo for sale,4780000,2,2,1882,16 W 40th St Apt 25B,"New York, NY 10018"
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,760000,1,1,700,404 E 66th St Apt 4N,"New York, NY 10065"
Brokered by Deutsch Realty,Condo for sale,2350000,2,2,1628,207 E 57th St Apt 16B,"Manhattan, NY 10022"
Brokered by EXIT REALTY PRIME,Co-op for sale,339999,1,1,825,78-06 46th Ave Unit 4G,"Elmhurst, NY 11373"
Brokered by Corcoran Westside Columbus,Co-op for sale,220000,1,1,900,3000 Valentine Ave Apt 5F,"Bronx, NY 10458"
Brokered by E Realty International Corp,Condo for sale,499000,1,1,750,63-14 Queens Blvd Unit 5J,"Woodside, NY 11377"
Brokered by Corcoran SoHo,Co-op for sale,445000,3,1,550,230 E 79th St Apt 19C,"New York, NY 10075"
Brokered by Daniel Gale Sotheby's International Realty,Co-op for sale,299000,1,1,700,32-20 91st St Unit 310,"East Elmhurst, NY 11369"
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,4075000,3,3,2150,240 Riverside Blvd Apt 19B,"New York, NY 10069"
Brokered by E Realty International Corp,Condo for sale,580000,2,2,950,130-14 60th Ave Unit 2C,"Flushing, NY 11355"
"Brokered by Foxworth Realty, Inc.",Co-op for sale,299900,1,1,2184.207862,3017 Riverdale Ave Apt 2J,"Bronx, NY 10463"
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,995000,2,2,1015,2110 Frederick Douglass Blvd Apt 8D,"New York, NY 10026"
Brokered by Cross Country Realty,Pending,825000,6,2,2444,80 Kelvin Ave,"Staten Island, NY 10306"
Brokered by Byson Real Estate Company - Byson Real Estate Company,Condo for sale,1525000,2,2,1329,5-30 47th Ave Unit 1B,"Queens, NY 11101"
Brokered by Astor Brokerage Ltd,Co-op for sale,222888,2,1,2184.207862,144-60 Gravett Rd Unit 3C,"Flushing, NY 11367"
Brokered by Brown Harris Stevens,Co-op for sale,1995000,3,3,1800,418 E 59th St Apt 31B,"Manhattan, NY 10022"
Brokered by Ycl Real Estate Consulting,Co-op for sale,217000,1,1,700,123-25 82 Ave Unit 5R,"Kew Gardens, NY 11415"
Brokered by Excellent Realty Llc,Condo for sale,468000,1,1,500,65-38 Austin St Unit 2H,"Rego Park, NY 11374"
"Brokered by Robert DeFalco Realty, Inc.",Multi-family home for sale,1739888,8,3,3375,1938 Bay Ridge Ave,"Brooklyn, NY 11204"
Brokered by Golden Doors Realty Corp,House for sale,650000,5,2,1951,687 E 232nd St,"Bronx, NY 10466"
Brokered by Winzone Realty Inc,House for sale,1690000,10,4,2958,1809 Voorhies Ave,"Brooklyn, NY 11235"
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,2100000,3,8,7984,248 New York Ave Apt 8,"Brooklyn, NY 11216"
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op for sale,7450000,3,2,5500,38 W 26th St Ph 12,"New York, NY 10010"
Brokered by KEYNDOOR LLC,Co-op for sale,295000,1,1,2184.207862,97-40 62nd Dr Unit 8F,"Rego Park, NY 11374"
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Co-op for sale,450000,1,1,1115,111-20 73rd Ave Unit 6H,"Forest Hills, NY 11375"
Brokered by Corcoran West Side,Co-op for sale,995000,1,1,2184.207862,230 Central Park W Apt 3K,"New York, NY 10024"
"Brokered by KMS Realty Group, Inc.",House for sale,629000,3,2,1216,132 Dalton Ave,"Staten Island, NY 10306"
Brokered by Keller Williams Realty NYC Grp,Co-op for sale,235000,1,1,660,3125 Tibbett Ave Apt 8C,"Bronx, NY 10463"
Brokered by Douglas Elliman  -111 Fifth Ave,House for sale,485000,3,1,525,242 E 25th St Apt 3D,"New York, NY 10010"
Brokered by COMPASS,Condo for sale,1588000,2,2,1108,30 W 61st St Apt 16D,"Manhattan, NY 10023"
Brokered by Corcoran Chelsea/Flatiron,House for sale,2695000,2,2,1750,12 W 18th St Apt 4E,"New York, NY 10011"
Brokered by Douglas Elliman - 3544 Johnson Ave,Condo for sale,585000,2,2,988,3625 Oxford Ave Apt 2B,"Bronx, NY 10463"
Brokered by E Realty International Corp,Multi-family home for sale,1598000,8,5,2184.207862,59-20 Xenia St,"Corona, NY 11368"
Brokered by COMPASS,Condo for sale,848880,1,1,713,11 E 36th St Ste 404,"Manhattan, NY 10016"
Brokered by Avenue & Street Realty Inc,Co-op for sale,268000,1,1,750,13839 Jewel Ave Apt 3A,"Flushing, NY 11367"
Brokered by Corcoran Westside Columbus,Condo for sale,3700000,3,3,1756,1280 Fifth Ave Apt 17B,"New York, NY 10029"
"Brokered by Toll Brothers, Inc",Condo for sale,1125000,1,1,743,218 W 103rd St Unit 4F,"New York, NY 10025"
Brokered by PEERLESS PROPERTIES CORP.,Pending,329000,2,2,1200,1750 E 14th St Apt 6B,"Brooklyn, NY 11229"
Brokered by Keller Williams Rlty Landmark,House for sale,799000,3,2,2184.207862,25-21 Humphrey St,"East Elmhurst, NY 11369"
Brokered by Momentum Real Estate Llc,House for sale,1380000,4,2,2520,8903 Ridge Blvd,"Brooklyn, NY 11209"
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,990000,2,2,2184.207862,325 E 41st St Apt 601,"New York, NY 10017"
Brokered by E Realty International Corp,Multi-family home for sale,2499000,18,12,2520,116-10 14th Rd,"College Point, NY 11356"
Brokered by Keller Williams NYC,Condo for sale,2395000,4,3,2155,42 Saint Marks Pl Apt 1,"Brooklyn, NY 11217"
Brokered by Brown Harris Stevens- 3531 Johnson Avenue,Co-op for sale,600000,2,2,2184.207862,3333 Henry Hudson Pkwy Apt 20N,"Bronx, NY 10463"
Brokered by Elegran LLC,Co-op for sale,745000,3,2,2184.207862,2500 Johnson Ave Apt 14H,"Bronx, NY 10463"
Brokered by Corcoran East Side,Condo for sale,8525000,4,4,2863,126 E 86th St # 16A,"New York, NY 10028"
Brokered by Master Associates Inc.,Multi-family home for sale,1229000,6,5,2816,7550 Amboy Rd,"Staten Island, NY 10307"
Brokered by Nardoni Realty Inc.,Co-op for sale,799000,1,1,950,201 E 28th St Unit 7K,"New York, NY 10016"
Brokered by Keller Williams Realty Staten Island,Contingent,625000,4,2,1650,26 Roe St,"Staten Island, NY 10310"
Brokered by Oxford Property Group,Townhouse for sale,1225000,4,4,1821,1103 Bushwick Ave,"Brooklyn, NY 11221"
Brokered by Keller Williams NYC,Co-op for sale,299000,1,1,2184.207862,63-89 Saunders St Unit 6K,"Rego Park, NY 11374"
"Brokered by Tom Crimmins Realty, Ltd.",Condo for sale,240000,1,1,800,1100 Clove Rd Apt 2K,"Staten Island, NY 10301"
Brokered by Julia B. Fee Sotheby's International Realty,Co-op for sale,165000,1,1,750,5615 Netherland Ave Apt 4E,"Bronx, NY 10471"
Brokered by Astor Brokerage Ltd,Multi-family home for sale,1285000,4,2,2184.207862,147-57 76th Rd,"Flushing, NY 11367"
Brokered by Corcoran West Side,Co-op for sale,765000,1,2,1000,17 W 54th St Apt 10F,"New York, NY 10019"
Brokered by Accord Homes Realty,Condo for sale,309000,2,1,862,1505 Archer Rd Apt 2D,"Bronx, NY 10462"
Brokered by 5 Boro Realty Corp,Multi-family home for sale,1250000,6,3,3496,739 E 89th St,"Brooklyn, NY 11236"
Brokered by COMPASS,Townhouse for sale,2099000,5,4,3200,16 DE Koven Ct,"Brooklyn, NY 11230"
Brokered by COMPASS,Co-op for sale,560000,1,1,2184.207862,320 E 42nd St Apt 3012,"Manhattan, NY 10017"
Brokered by Corcoran East Side,Condo for sale,3795000,3,3,1981,200 E 62nd St Apt 19A,"New York, NY 10065"
Brokered by Master Associates Inc.,Multi-family home for sale,1229000,6,5,2816,7550 Amboy Rd,"Staten Island, NY 10307"
Brokered by Tudor Realty Services Corp. - Tudor Realty Services Corp.,Co-op for sale,269500,2,1,2184.207862,2080-2090 Barnes Ave Unit 5B,"Bronx, NY 10462"
Brokered by Corcoran East Side,Condo for sale,8525000,4,4,2863,126 E 86th St # 16A,"New York, NY 10028"
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,3275000,3,3,2184.207862,8 E 83rd St Units 11 & 12D,"Manhattan, NY 10028"
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,3795000,3,3,2184.207862,31 E 72nd St Apt 3B,"New York, NY 10021"
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,4150000,5,4,2184.207862,170 W 76th St # 302/402,"New York, NY 10023"
Brokered by Winzone Realty Inc,Co-op for sale,285000,1,1,2184.207862,98-120 Queens Blvd Unit 2H,"Rego Park, NY 11374"
Brokered by Real Estate Executives,House for sale,1249949,4,4,2720,25 Sanford St,"Staten Island, NY 10307"
"Brokered by Robert DeFalco Realty, Inc.",Contingent,649999,5,3,2052,80 Brewster St,"Staten Island, NY 10304"
Brokered by Spire Group Inc.- Main Office,Condo for sale,780000,3,1,2184.207862,550 Vanderbilt Ave Apt 511,"Brooklyn, NY 11238"
Brokered by Corcoran Brooklyn Heights,Condo for sale,1075000,2,2,1144,1222 Putnam Ave # 4A,"Brooklyn, NY 11221"
Brokered by J Coco Realty Llc,Co-op for sale,345000,2,1,2184.207862,6610 Thornton Pl Apt 3B,"Rego Park, NY 11374"
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,4150000,5,4,2184.207862,170 W 76th St # 302/402,"New York, NY 10023"
Brokered by Corcoran Brooklyn Heights,Condo for sale,1075000,2,2,1144,1222 Putnam Ave # 4A,"Brooklyn, NY 11221"
Brokered by J Coco Realty Llc,Co-op for sale,345000,2,1,2184.207862,6610 Thornton Pl Apt 3B,"Rego Park, NY 11374"
Brokered by EXP Realty - HAUPPAUGE,Co-op for sale,365000,2,1,2184.207862,225-08 Hillside Ave Unit Duplex,"Queens Village, NY 11427"
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,750000,1,1,592,250 Manhattan Ave Unit 3R,"Brooklyn, NY 11211"
Brokered by Corcoran East Side,Condo for sale,1850000,2,2,1322,40 Broad St Ph 3F,"New York, NY 10004"
Brokered by RE MAX Edge,House for sale,1288000,3,2.373860858,1692,7715 20th Ave,"Brooklyn, NY 11214"
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,5250000,3,3,2950,60 E 55th St Ph 3,"New York, NY 10022"
Brokered by Cross Country Realty,Multi-family home for sale,769000,4,3,2184.207862,1038 E 100th St,"Brooklyn, NY 11236"
Brokered by Keller Williams Rlty Landmark,Pending,925000,3,2,2184.207862,61-19 75th Pl,"Middle Village, NY 11379"
Brokered by REAL NEW YORK - Lower East Side,Co-op for sale,500000,1,1,2184.207862,346 W 56th St Apt 1A,"New York, NY 10019"
Brokered by Corcoran Park Avenue South,Pending,625000,1,1,2184.207862,281 W 11th St Apt 4A,"New York, NY 10014"
Brokered by New American Realty Corp,Multi-family home for sale,1375000,8,3,3039,726 E 134th St,"Bronx, NY 10454"
Brokered by Tapestry Real Estate of Queens,Co-op for sale,270000,2,1,700,21-05 33 St Unit 5F,"Astoria, NY 11101"
Brokered by Wagner & Kelly Inc,Multi-family home for sale,1273000,3,3,2184.207862,34-53 60th St,"Woodside, NY 11377"
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,15000000,6,8,2184.207862,895 Park Ave # 6 & 7A,"New York, NY 10075"
Brokered by William Raveis New York City,Contingent,499000,1,1,2184.207862,120 E 36th St Apt 10C,"New York, NY 10016"
Brokered by Douglas Elliman - 1995 Broadway,Co-op for sale,3585000,3,3,2237,344 W 72nd St Apt 609,"New York, NY 10023"
Brokered by RE/MAX 2000,House for sale,749999,9,3,2184.207862,2414 Tiebout Ave,"Bronx, NY 10458"
Brokered by Momentum Real Estate LLC,House for sale,499000,3,2,1024,140 Kiswick St,"Staten Island, NY 10306"
Brokered by Corcoran Bedford Stuyvesant,Condo for sale,595000,1,1,556,68 Eldert St # 4C,"Brooklyn, NY 11207"
Brokered by Corcoran Chelsea/Flatiron,Multi-family home for sale,5000000,3,3,1845,215 Sullivan St Apt 5E,"New York, NY 10012"
Brokered by COMPASS,Townhouse for sale,1495000,6,2,2184.207862,28-16 37th St,"Astoria, NY 11103"
Brokered by Keller Williams NYC,Condo for sale,2995000,2,2,1784,721 Fifth Ave Unit 52K,"New York, NY 10022"
Brokered by Re/Max In The City,Co-op for sale,469900,3,2,1200,2711 Henry Hudson Pkwy Apt 3C,"Bronx, NY 10463"
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,1995000,2,2,2184.207862,8 E 83rd St # 8G,"New York, NY 10028"
Brokered by Pantiga Group Inc.,Co-op for sale,159999,1,1,650,1372 Shakespeare Ave Apt 4C,"Bronx, NY 10452"
Brokered by Charles Rutenberg Realty Inc,House for sale,758000,4,2,1216,960 E 40th St,"Brooklyn, NY 11210"
Brokered by Exp Realty,House for sale,599999,2,2,1048,2566 Eastchester Rd,"Bronx, NY 10469"
Brokered by Corcoran SoHo,Co-op for sale,749000,1,1,2184.207862,170 E 92nd St # 4CD,"New York, NY 10128"
Brokered by Douglas Elliman  -111 Fifth Ave,Multi-family home for sale,2100000,8,4,3750,958 Madison St,"Brooklyn, NY 11221"
Brokered by Corcoran East Side,Co-op for sale,32000000,4,6,2184.207862,944 Fifth Ave # 3FL,"New York, NY 10021"
Brokered by TOP NEST INC,House for sale,620000,3,2,1280,145-47 115th Ave,"Jamaica, NY 11436"
Brokered by Countrywide Real Estate Inc,House for sale,849000,3,2,1890,2021 Watson Ave,"Bronx, NY 10472"
Brokered by Re/Max In The City,Co-op for sale,469900,3,2,1200,2711 Henry Hudson Pkwy Apt 3C,"Bronx, NY 10463"
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,1995000,2,2,2184.207862,8 E 83rd St # 8G,"New York, NY 10028"
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,3250000,3,3,2610,563 Park Ave Apt 10E,"New York, NY 10065"
Brokered by Goldstone N Y Realty Llc,Co-op for sale,338000,2,1,2184.207862,150-20 72 Rd Unit 6A,"Flushing, NY 11367"
Brokered by CENTURY 21 Achievers,Multi-family home for sale,3400000,3,8,2184.207862,567 St Johns Pl,"Brooklyn, NY 11238"
Brokered by The Agency,Co-op for sale,1575000,2,2,1157,165 W End Ave Apt 7K,"New York, NY 10023"
Brokered by Ben Bay Rlty Of Marine Pk Llc,Co-op for sale,259000,1,1,570,160 72nd St Apt 791,"Brooklyn, NY 11209"
Brokered by Highline Residential - Highline Residential,House for sale,2300000,6,4,3850,762 Greene Ave,"Brooklyn, NY 11221"
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op for sale,975000,2,1,2184.207862,300 Riverside Dr Apt 8H,"New York, NY 10025"
Brokered by Karl Mohan Realty Group,Multi-family home for sale,879000,4,3,2184.207862,88-01 77th St,"Jamaica, NY 11421"
Brokered by Coldwell Banker Warburg,Co-op for sale,950000,2,1,775,36 W 35th St Ph F,"New York, NY 10001"
Brokered by KORR REALTY,Condo for sale,749999,3,3,1602,1906 Bergen Ave Unit 9A,"Brooklyn, NY 11234"
Brokered by Beaudoin Realty Group Inc,Co-op for sale,639000,3,1,1050,37-33 84 St Unit 31,"Jackson Heights, NY 11372"
Brokered by R New York,Condo for sale,2300000,3,3,1700,330 E 38th St Apt 12N,"New York, NY 10016"
Brokered by E Realty International Corp,Co-op for sale,289000,1,1,2184.207862,97-40 62nd Dr Unit 11C,"Rego Park, NY 11374"
Brokered by Keller Williams Rlty Landmark,Multi-family home for sale,1698888,10,6,3025,149-63 Ash Ave,"Flushing, NY 11355"
Brokered by Momentum Real Estate Llc,Multi-family home for sale,1180000,4,3,1528,6504 17th Ave,"Brooklyn, NY 11204"
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,6750000,2,2,2320,15 Hudson Yards Apt 66B,"New York, NY 10001"
Brokered by Ben Bay Realty Company of Staten Island LLC,Townhouse for sale,499000,3,2,1890,328 Taylor St,"Staten Island, NY 10310"
Brokered by COMPASS,Condo for sale,799000,1,1,2184.207862,300 E 40th St Apt 30N,"Manhattan, NY 10016"
Brokered by Douglas Elliman - 140 Franklin,Co-op for sale,600000,1,1,750,210 W 103rd St Apt 5F,"New York, NY 10025"
Brokered by Signature Premier Properties,Multi-family home for sale,699000,4,2,2184.207862,117-68 140th St,"Jamaica, NY 11436"
Brokered by EXIT REALTY FIRST CHOICE,House for sale,1578000,5,3,2184.207862,76-24 176th St,"Fresh Meadows, NY 11366"
Brokered by E Realty International Corp,House for sale,849000,4,3,2184.207862,257-21 87th Ave,"Floral Park, NY 11001"
Brokered by COMPASS,Condo for sale,4275000,2,2,2184.207862,110 Central Park S Apt 5A,"Manhattan, NY 10019"
Brokered by Corcoran East Side,Co-op for sale,1550000,1,1,2184.207862,2 Fifth Ave Apt 3F,"New York, NY 10011"
Brokered by Shaw Properties,House for sale,489000,7,3,2500,4429 Matilda Ave,"Bronx, NY 10470"
Brokered by Ben Bay Realty Company of Staten Island LLC,Townhouse for sale,499000,3,2,1890,328 Taylor St,"Staten Island, NY 10310"
Brokered by COMPASS,Condo for sale,799000,1,1,2184.207862,300 E 40th St Apt 30N,"Manhattan, NY 10016"
Brokered by Douglas Elliman - 140 Franklin,Co-op for sale,600000,1,1,750,210 W 103rd St Apt 5F,"New York, NY 10025"
Brokered by Brown Harris Stevens - 1926 Broadway,Co-op for sale,6700000,3,3,2184.207862,300 Central Park W Apt 16B,"Manhattan, NY 10024"
Brokered by J. Sikar Realty,Co-op for sale,319000,1,1,750,2928 W 5th St Apt 11S,"Brooklyn, NY 11224"
Brokered by Living NY - Main Office,Townhouse for sale,10750000,10,10,6532,49 W 16th St Unit Townhouse,"New York, NY 10011"
Brokered by Corcoran Legends Realty,Co-op for sale,520000,1,1,730,444 E 75th St Apt 7H,"New York, NY 10021"
Brokered by COMPASS,Co-op for sale,715000,1,1,2184.207862,54 W 16th St Apt 9G,"Manhattan, NY 10011"
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,689000,1,1,1000,415 E 52nd St Apt 9AB,"New York, NY 10022"
Brokered by Elegran Real Estate And Development,Condo for sale,5750000,3,3,3700,259 Bowery Units 3 & 4,"New York, NY 10002"
Brokered by Corcoran East Side,Co-op for sale,885000,1,1,2184.207862,225 E 57th St Apt 11M,"New York, NY 10022"
Brokered by Empire Fine Homes,House for sale,899000,4,2,1400,35-13 103rd St,"Corona, NY 11368"
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,1250000,2,3,2184.207862,207 E 21st St Unit 4CDE,"New York, NY 10010"
"Brokered by Nest Seekers International, Long Island",Condo for sale,580000,1,2.373860858,2184.207862,109-9 15th Ave,"Queens, NY 11356"
Brokered by Serhant,Co-op for sale,1825000,3,2,1500,315 W End Ave Apt 2B,"New York, NY 10023"
Brokered by Keller Williams Rlty Landmark,Pending,249000,1,1,700,57-07 246th Cres Unit 2,"Douglaston, NY 11362"
Brokered by TALK OF THE TOWN REALTY C,House for sale,1175000,7,2.373860858,2184.207862,7322 Avenue M,"Brooklyn, NY 11234"
Brokered by Home Global Realty,Co-op for sale,232000,1,1,750,32-22 89th St Unit 106E,"East Elmhurst, NY 11369"
Brokered by COMPASS,Condo for sale,1100000,2,1,988,318 W 100th St Apt 8B,"Manhattan, NY 10025"
Brokered by NextHome Empire,Multi-family home for sale,1695000,6,4,2184.207862,21-08 21 Rd,"Astoria, NY 11105"
"Brokered by Nest Seekers International, Midtown",Co-op for sale,300000,2,1,2184.207862,800 Grand Concourse Apt 3RS,"Bronx, NY 10451"
Brokered by Keller Williams NYC,Condo for sale,4999000,2,2,1666,111 Murray St Apt 41B,"New York, NY 10007"
Brokered by E Realty International Corp,Multi-family home for sale,1690000,7,7,4600,56-11 Van Cleef St,"Corona, NY 11368"
Brokered by Coldwell Banker Reliable Real Estate,Multi-family home for sale,849999,4,2,2217,846 E 46th St,"Brooklyn, NY 11203"
Brokered by Douglas Elliman - 1995 Broadway,Condo for sale,1695000,3,2,1827,475 Sterling Pl Apt 1B,"Brooklyn, NY 11238"
Brokered by Corcoran Fort Greene,Multi-family home for sale,3900000,4,4,2184.207862,366 Clermont Ave,"Brooklyn, NY 11238"
"Brokered by Plaza Island Properties, LLC",Multi-family home for sale,669000,2,1,2675,166 Jewett Ave,"Staten Island, NY 10302"
Brokered by 5 Boro Realty Corp,Multi-family home for sale,1900000,14,6,2184.207862,1792 Saint Johns Pl,"Brooklyn, NY 11233"
Brokered by Corcoran Fort Greene,Co-op for sale,350000,3,1,2184.207862,319 E 50th St Apt 8F,"New York, NY 10022"
Brokered by COMPASS,Co-op for sale,875000,1,1,2184.207862,77 Bleecker St Apt 505,"Manhattan, NY 10012"
Brokered by Engel & V�������,Co-op for sale,489000,3,1,2184.207862,9 E 96th St Unit 7C,"New York, NY 10128"
Brokered by Brown Harris Stevens,Condo for sale,2800000,3,2,1687,543 W 122nd St Apt 27A,"Manhattan, NY 10027"
Brokered by COMPASS,Pending,949000,2,1,2184.207862,440 Riverside Dr Apt 105,"Manhattan, NY 10027"
Brokered by BERKSHIRE HATHAWAY,Land for sale,675000,3,2.373860858,2184.207862,2932 Brighton 5th St,"Brooklyn, NY 11235"
Brokered by EXP Realty,Condo for sale,459000,1,1,548,3031 Brighton 5th St Unit 3C,"Brooklyn, NY 11235"
Brokered by Douglas Elliman - 936 Broadway,Co-op for sale,899000,2,1,2184.207862,200 E 27th St Unit 8 /K,"New York, NY 10016"
"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse for sale,13650000,6,2,6800,180 E 73rd St,"New York, NY 10021"
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,21000000,5,2.373860858,2184.207862,730 Park Ave # 9A,"New York, NY 10021"
Brokered by Brown Harris Stevens - 445 Park Avenue,Condo for sale,15900000,4,4,3698,1 Central Park S Unit 1901,"Manhattan, NY 10019"
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,4995000,3,4,1960,100 Central Park S Unit 3AD,"New York, NY 10019"
Brokered by COMPASS,Condo for sale,2250000,3,1,1710,181 Hudson St Ste 2A,"Manhattan, NY 10013"
Brokered by REAL NEW YORK - Lower East Side,Condo for sale,989000,3,1,930,282A Nassau Ave Apt 3A,"Brooklyn, NY 11222"
Brokered by Keller Williams Realty Elite,Co-op for sale,309999,1,1,650,30-31 Hobart St Unit 3O,"Woodside, NY 11377"
Brokered by Brown Harris Stevens - 1926 Broadway,Condo for sale,4880000,3,3,2130,400 Fifth Ave Unit 57E,"Manhattan, NY 10018"
Brokered by E Realty International Corp,Condo for sale,600000,1,1,830,132-35 Sanford Ave Unit Ld,"Flushing, NY 11355"
Brokered by Corcoran East Side,Condo for sale,5400000,3,4,2515,300 E 55th St Ph B,"New York, NY 10022"
Brokered by Berkshire Hathaway,Co-op for sale,265000,1,1,2184.207862,5700 Arlington Ave Apt 21E,"Bronx, NY 10471"
Brokered by Winzone Realty Inc,Co-op for sale,240000,1,1,750,102-17 64th Rd Unit 4F,"Forest Hills, NY 11375"
Brokered by COMPASS,Townhouse for sale,1790000,4,5,2736,12-07 40th Ave Unit Multi,"Queens, NY 11101"
Brokered by ES Realty Eva Shammah LLC,Co-op for sale,225000,1,1,622,387 Avenue S Apt 1F,"Brooklyn, NY 11223"
"Brokered by Neuhaus Realty, Inc.",Multi-family home for sale,1299000,6,2.373860858,3733,433 Clove Rd,"Staten Island, NY 10310"
Brokered by Brown Harris Stevens,Condo for sale,1625000,1,2,995,393 W End Ave Apt 8F,"Manhattan, NY 10024"
Brokered by Elegran Real Estate And Development,Co-op for sale,420000,3,1,2184.207862,225 E 36th St Apt 2H,"New York, NY 10016"
Brokered by RE/MAX Elite,Condo for sale,385000,2,1,910,100 Colfax Ave Apt 3V,"Staten Island, NY 10306"
Brokered by Lavilla Homes Inc,Multi-family home for sale,2720000,8,4,2184.207862,936 Seneca Ave,"Ridgewood, NY 11385"
Brokered by American Homes Group,House for sale,1396000,4,4,2444,49 Weed Ave,"Staten Island, NY 10306"
Brokered by Bedford Brownstone Realty LLC,Multi-family home for sale,1195000,3,3,2400,5313 Avenue H,"Brooklyn, NY 11234"
Brokered by FOXR - Fox Residential Group,Co-op for sale,620000,3,1,2184.207862,80 Central Park W Apt 4G,"New York, NY 10023"
Brokered by Keller Williams NYC,Co-op for sale,300000,3,1,2184.207862,205 E 77th St Apt 11H,"New York, NY 10075"
Brokered by Corcoran East Side,Co-op for sale,539000,1,1,2184.207862,420 E 55th St Apt 6L,"New York, NY 10022"
Brokered by COMPASS,Co-op for sale,599000,1,2,1025,510 E 86th St Unit Off,"Manhattan, NY 10028"
Brokered by COMPASS,Condo for sale,5200000,2,3,1394,2 E 55th St Unit 1118,"Manhattan, NY 10022"
Brokered by COMPASS,Co-op for sale,650000,1,1,2184.207862,140 Cabrini Blvd Apt 82,"Manhattan, NY 10033"
Brokered by Corcoran East Side,Co-op for sale,5600000,5,4,3200,983 Park Ave # 6C,"New York, NY 10028"
Brokered by Douglas Elliman  -111 Fifth Ave,Pending,700000,1,1,500,23 Waverly Pl # T,"New York, NY 10003"
Brokered by CRM Real Estate,Contingent,469000,3,2,1352,28 Monsey Pl,"Staten Island, NY 10303"
Brokered by ANNE - Anne Weintraub,Co-op for sale,1950000,2,2,2184.207862,1 Fifth Ave Unit 2J,"New York, NY 10003"
Brokered by Shares Of New York Marketing,Co-op for sale,729888,2,2,1600,166-25 Powells Cove Blvd Unit 4C,"Beechhurst, NY 11357"
Brokered by EXIT REALTY CENTRAL,Multi-family home for sale,2225000,7,5,2184.207862,158 Stockholm St,"Brooklyn, NY 11237"
Brokered by RE/MAX City Square,Multi-family home for sale,890000,6,5,2184.207862,2401 Walton Ave,"Bronx, NY 10468"
Brokered by BERGEN BASIN REALTY,House for sale,949000,4,2,2172,2430 E 71st St,"Brooklyn, NY 11234"
Brokered by RE MAX Real Estate Professionals,House for sale,650000,3,2,1500,54 Farrell Ct,"Staten Island, NY 10306"
Brokered by Corcoran East Side,Townhouse for sale,16500000,5,6,5129,132 E 62nd St,"New York, NY 10065"
Brokered by RE MAX Edge,House for sale,579999,3,2,1152,18 Vanderbilt Ave,"Staten Island, NY 10304"
Brokered by BERGEN BASIN REALTY,Land for sale,1499000,3,2.373860858,2184.207862,449 Mayfair Dr S Lot 9,"Brooklyn, NY 11234"
Brokered by Winzone Realty Inc,Co-op for sale,535000,3,2,1350,142-05 Roosevelt Ave Unit 225,"Flushing, NY 11354"
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,1250000,2,2,1500,125 E 63rd St Apt 4B,"Manhattan, NY 10065"
Brokered by COMPASS,Multi-family home for sale,1388000,4,2,2520,1801 Ave W,"Brooklyn, NY 11229"
Brokered by Corcoran East Side,Co-op for sale,845000,1,1,2184.207862,17 W 54th St Apt 3C,"New York, NY 10019"
Brokered by Winzone Realty Inc,Condo for sale,550000,1,1,712,61-05 39th Ave Unit G3,"Woodside, NY 11377"
Brokered by BROOKLYN`S 4 U REALTY,Multi-family home for sale,2599000,3,6,4662,102 Patchen Ave,"Brooklyn, NY 11221"
Brokered by Papa Realty,Co-op for sale,498000,2,2,2184.207862,17-85 215 St Unit 6H,"Bayside, NY 11360"
Brokered by Elite Real Estate Group 1 Llc,House for sale,840000,3,2,1675,1459 Waring Ave,"Bronx, NY 10469"
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,1250000,2,2,1500,125 E 63rd St Apt 4B,"Manhattan, NY 10065"
Brokered by Corcoran East Side,Co-op for sale,845000,1,1,2184.207862,17 W 54th St Apt 3C,"New York, NY 10019"
